pre_name,univ_name,
北海道,旭川医科大学,
北海道,小樽商科大学,
北海道,帯広畜産大学,
北海道,北見工業大学,
北海道,北海道教育大学,
北海道,北海道大学,
北海道,室蘭工業大学,
北海道,釧路公立大学,
北海道,公立千歳科学技術大学,
北海道,公立はこだて未来大学,
北海道,札幌医科大学,
北海道,札幌市立大学,
北海道,名寄市立大学,
北海道,旭川大学,
北海道,札幌大谷大学,
北海道,札幌学院大学,
北海道,札幌国際大学,
北海道,札幌大学,
北海道,札幌保健医療大学,
北海道,天使大学,
北海道,星槎道都大学,
北海道,苫小牧駒澤大学,
北海道,日本医療大学,
北海道,日本赤十字北海道看護大学,
北海道,函館大学,
北海道,藤女子大学,
北海道,北翔大学,
北海道,北星学園大学,
北海道,北海学園大学,
北海道,北海商科大学,
北海道,北海道医療大学,
北海道,北海道科学大学,
北海道,北海道情報大学,
北海道,北海道千歳リハビリテーション大学,
北海道,北海道文教大学,
北海道,酪農学園大学,
北海道,稚内北星学園大学,
北海道,旭川大学短期大学部,
北海道,帯広大谷短期大学,
北海道,釧路短期大学,
北海道,光塩学園女子短期大学,
北海道,國學院大学北海道短期大学部,
北海道,札幌大谷大学短期大学部,
北海道,札幌国際大学短期大学部,
北海道,札幌大学女子短期大学部,
北海道,拓殖大学北海道短期大学,
北海道,函館大谷短期大学,
北海道,函館短期大学,
北海道,北翔大学短期大学部,
北海道,北星学園大学短期大学部,
北海道,北海道科学大学短期大学部,
北海道,北海道武蔵女子短期大学,
青森県,弘前大学,
青森県,青森県立保健大学,
青森県,青森公立大学,
青森県,青森大学,
青森県,青森中央学院大学,
青森県,東北女子大学,
青森県,八戸学院大学,
青森県,八戸工業大学,
青森県,弘前医療福祉大学,
青森県,弘前学院大学,
青森県,青森明の星短期大学,
青森県,青森中央短期大学,
青森県,東北女子短期大学,
青森県,八戸学院大学短期大学部,
青森県,弘前医療福祉大学短期大学部,
岩手県,岩手大学,
岩手県,岩手県立大学,
岩手県,岩手医科大学,
